ds,yhat,username
2025-01-01,2352.687742969607,user1
2025-02-01,2794.645113697661,user1
2025-03-01,2286.601712070607,user1
2025-04-01,2768.7530223031868,user1
2025-05-01,2247.103931298094,user1
2025-06-01,2259.893980715664,user1
2025-07-01,3411.575008949803,user1
2025-08-01,2501.708086743077,user1
2025-09-01,2422.0740017233647,user1
2025-10-01,3067.785793309055,user1
2025-11-01,2669.215794519911,user1
2025-12-01,2392.4583341928073,user1
2025-01-01,2287.6801400856975,user10
2025-02-01,1625.814067848447,user10
2025-03-01,2560.6928123170446,user10
2025-04-01,2243.8756819415194,user10
2025-05-01,2467.3092698622318,user10
2025-06-01,2203.0427584120316,user10
2025-07-01,2229.5231179013904,user10
2025-08-01,2425.5721554298702,user10
2025-09-01,2376.5540439865963,user10
2025-10-01,2311.5605900727546,user10
2025-11-01,2295.400823948919,user10
2025-12-01,2430.23128912755,user10
2025-01-01,2214.3563311285884,user11
2025-02-01,2042.5495214836951,user11
2025-03-01,2659.6517677489865,user11
2025-04-01,2403.7682531271294,user11
2025-05-01,3447.3139426010734,user11
2025-06-01,2414.401828424883,user11
2025-07-01,2465.0684071760743,user11
2025-08-01,2439.218321139066,user11
2025-09-01,2302.2248484103548,user11
2025-10-01,2780.1012685151545,user11
2025-11-01,2766.291581928132,user11
2025-12-01,2803.3973476724013,user11
2025-01-01,3130.2421608771506,user12
2025-02-01,2325.0637201597197,user12
2025-03-01,2761.209148371042,user12
2025-04-01,2585.724710709668,user12
2025-05-01,2915.694491094265,user12
2025-06-01,2706.020245453577,user12
2025-07-01,2256.5897320463046,user12
2025-08-01,2690.5968866355634,user12
2025-09-01,2479.8018212266643,user12
2025-10-01,3093.420910376914,user12
2025-11-01,2469.3658339706108,user12
2025-12-01,2661.1623262834523,user12
2025-01-01,2451.350544358768,user13
2025-02-01,1437.8258552418413,user13
2025-03-01,2232.2129735437125,user13
2025-04-01,2293.9021468635747,user13
2025-05-01,2227.8368704466657,user13
2025-06-01,2452.570188843106,user13
2025-07-01,2632.884915764123,user13
2025-08-01,2279.759127262567,user13
2025-09-01,1779.5597025344473,user13
2025-10-01,2747.203824873208,user13
2025-11-01,1912.4968017302297,user13
2025-12-01,1960.5492121587179,user13
2025-01-01,2151.077716123071,user14
2025-02-01,2118.828487305454,user14
2025-03-01,2425.24206206508,user14
2025-04-01,2277.16462923501,user14
2025-05-01,2363.8710159424327,user14
2025-06-01,2462.9419602496873,user14
2025-07-01,2443.6106484240145,user14
2025-08-01,2041.981322620586,user14
2025-09-01,2382.193483482597,user14
2025-10-01,2168.4213520547423,user14
2025-11-01,2252.859725336474,user14
2025-12-01,2771.6827355605446,user14
2025-01-01,1874.3331222011916,user15
2025-02-01,2548.5717418891586,user15
2025-03-01,2398.742181847529,user15
2025-04-01,2644.329451064983,user15
2025-05-01,1883.061414845359,user15
2025-06-01,2438.353519330335,user15
2025-07-01,2647.412290949131,user15
2025-08-01,2275.3806628358047,user15
2025-09-01,2098.1577587133147,user15
2025-10-01,2235.9583598379427,user15
2025-11-01,2210.081320341914,user15
2025-12-01,2185.940450825195,user15
2025-01-01,2628.573675208309,user16
2025-02-01,2385.083133792045,user16
2025-03-01,2812.405814047867,user16
2025-04-01,2288.878312172312,user16
2025-05-01,2892.6664107075626,user16
2025-06-01,2302.504176249126,user16
2025-07-01,2629.105640373245,user16
2025-08-01,2265.1003074013356,user16
2025-09-01,2630.138247427407,user16
2025-10-01,2085.032028339877,user16
2025-11-01,2282.931004633872,user16
2025-12-01,2544.648070596635,user16
2025-01-01,1915.8201730687986,user17
2025-02-01,2149.1637729213717,user17
2025-03-01,2889.4453111376074,user17
2025-04-01,2379.1665935836218,user17
2025-05-01,2597.3987013528917,user17
2025-06-01,2699.703771081523,user17
2025-07-01,2606.879967782333,user17
2025-08-01,2231.8369409121474,user17
2025-09-01,2777.0840019633633,user17
2025-10-01,2293.589485485582,user17
2025-11-01,2329.155664923595,user17
2025-12-01,2475.3548403397676,user17
2025-01-01,2158.676756480185,user18
2025-02-01,2442.7743365872557,user18
2025-03-01,2938.1656382800825,user18
2025-04-01,2829.142791562721,user18
