ds,yhat,username,month,year
2025-01-01,3461.208064594481,user20,Jan,2025
2025-02-01,2947.748698368793,user40,Feb,2025
2025-03-01,3065.057578079791,user37,Mar,2025
2025-04-01,3152.9890457587376,user25,Apr,2025
2025-05-01,3447.3139426010734,user11,May,2025
2025-06-01,3138.749010602311,user38,Jun,2025
2025-07-01,3454.2188282659886,user5,Jul,2025
2025-08-01,3219.301604378,user18,Aug,2025
2025-09-01,3153.29824264574,user22,Sep,2025
2025-10-01,3200.151635146909,user37,Oct,2025
2025-11-01,3078.3437514147754,user25,Nov,2025
2025-12-01,3456.7913718578047,user25,Dec,2025
